id,name,phone,salary,age,department
1,Shell Doblin,760-779-2902,24150.977,64,operations
2,Rolfe McIlhagga,652-665-7450,11976.062,43,technology
3,Mara Poulglais,937-328-8531,16080.927,41,human resources
4,Maren Dmych,398-929-4228,21069.736,49,human resources
5,Jojo Barbie,169-180-6782,26041.99,25,human resources
6,George Mainds,408-608-6681,9660.633,40,strategy
7,Sherrie Prattington,766-299-3594,20425.218,42,operations
8,Padgett Addie,957-659-5837,17501.126,31,marketing
9,Ernest Vears,853-979-8126,15103.072,38,strategy
10,Jane Kewzick,318-997-4809,9734.974,26,technology
11,Em Greenwell,626-100-7378,9502.996,35,technology
12,Claudio Gellately,478-514-6683,9930.646,44,human resources
13,Jenda Monkley,983-570-9997,28573.213,40,human resources
14,Isidore Di Maggio,427-497-2905,13990.664,42,technology
15,Herman Beal,127-579-1946,14467.394,47,operations
16,Shelton Clack,918-433-9555,8851.229,42,finance
17,Allison Brandin,595-778-7506,18001.936,63,technology
18,Ferdy Seville,834-844-8056,12250.395,55,operations
19,Burgess Hartgill,710-805-8828,15070.556,25,finance
20,Vaclav Chesnut,199-528-2315,26058.276,41,operations
21,Ester Bulstrode,967-629-5619,12360.724,65,human resources
22,Breanne Kinvig,729-117-6726,13781.988,39,technology
23,Leeann Bog,448-702-5176,10390.708,52,marketing
24,Yorker Stoven,868-489-8098,13966.328,33,technology
25,Bart Gillbey,867-286-0842,29217.863,37,finance
26,Constantia Cast,606-318-2665,20772.787,47,operations
27,Sonja Icom,779-702-8328,8448.152,40,finance
28,Evan Brunet,321-659-3199,15970.759,44,operations
29,Dalli Woodstock,598-840-5172,17672.474,34,technology
30,Morie Biasotti,263-823-5811,12172.748,46,operations
31,Clevie Denyer,940-645-9263,5144.924,41,finance
32,Daisy Engelmann,469-967-7831,25360.218,23,finance
33,Dido Quene,782-568-5757,24763.944,54,human resources
34,Shea Jallin,916-339-2703,15697.91,24,strategy
35,Barbabra Aldine,448-964-8092,22179.008,41,operations
36,Noemi Gross,506-419-7144,28521.21,62,operations
37,Abbe Welbeck,137-284-3357,27217.196,28,finance
38,Lucy Daouse,575-374-5990,16065.95,38,technology
39,Kellina Giuron,665-222-8957,10622.437,44,technology
40,Carmela Robottom,130-991-6501,16721.979,37,technology
41,Saloma McCloy,514-624-3552,15995.628,59,finance
42,Krisha Leary,566-604-0132,5607.682,39,finance
43,Byrom Coots,337-151-3344,14034.042,48,operations
44,Borg Mathers,645-480-1581,15829.18,57,finance
45,Jacynth Veitch,793-577-3181,14963.821,39,technology
46,Tiffie Lusgdin,861-308-2517,19430.853,25,operations
47,Belvia Haythornthwaite,596-877-7473,29136.587,34,marketing
48,Aeriell O'Nions,599-482-8729,19890.557,56,finance
49,Diannne Merrell,159-221-9812,22095.615,44,technology
50,Harley Grindrod,749-584-8431,29290.216,49,marketing
51,Lissi Alyonov,590-851-8539,6385.557,51,marketing
52,Evelin Marquis,502-958-5717,5173.337,49,finance
